country,exp,exp_f,exp_m,elec,elec_rural,elec_urban,lit,lit_f,lit_m,mort,mort_f,mort_m
Afghanistan,55.12587805,56.265,54.041,37.45584,24.28065,88.29070684,,,,95.4,89.7,100.8
Albania,74.27207317,77.419,71.275,100,100,100,,,,23.2,20.7,25.6
Algeria,70.18390244,71.973,68.48,98,96.7,98.83861516,,,,33.9,31.1,36.7
American Samoa,,,,52.53027,39.52079,54.17671682,,,,,,
Andorra,,,,100,100,100,,,,3.9,3.5,4.2
Angola,45.20478049,46.621,43.856,31.05585,0.6,62.77129034,,,,128.3,118.1,137.8
Antigua and Barbuda,73.39729268,75.947,70.969,85.4112,72.26502,100,,,,13.8,12.2,15.2
Arab World,67.82694852,69.65210687,66.10169979,79.53695027,65.86905526,91.65461793,65.94878945,55.00318142,76.24172446,44.10093082,40.51585035,47.5453121
Argentina,73.75580488,77.544,70.148,92.34713,88.58672,92.75915828,,,,18,16,20
Armenia,71.27658537,74.717,68,98,97.8,98.10928154,,,,26.6,23.6,29.4
Aruba,73.72060976,76.257,71.305,85.4112,72.26502,100,97.29125214,97.07135773,97.53739929,,,
Australia,79.23414634,82,76.6,100,100,100,,,,5.1,4.6,5.6
Austria,78.12682927,81.2,75.2,100,100,100,,,,4.6,4.1,5
Azerbaijan,66.7582439,69.877,63.788,95.95585,94.28065,97.54068192,,,,60.6,56.5,64.6
"Bahamas, The",72.25429268,75.476,69.186,96.1,94,96.55988298,,,,13,12.1,13.9
Bahrain,74.5994878,75.503,73.739,90.89918,86.9258,91.42199789,,,,10.9,10.5,11.2
Bangladesh,65.34797561,65.706,65.007,32,20.5,69.24947011,,,,64.4,60.1,68.4
Barbados,73.2195122,75.592,70.96,85.4112,72.26502,100,,,,14.8,13.6,16
Belarus,68.91219512,74.7,63.4,100,100,100,,,,11.4,9.7,13.1
Belgium,77.72195122,81,74.6,100,100,100,,,,4.8,4.2,5.3
Belize,68.41887805,71.364,65.614,95.16103,93.53338,96.94829304,,,,21.1,18.7,23.4
Benin,55.1882439,57.173,53.298,25.4,5.5,57.4134949,,,,89.3,83.3,95.1
Bermuda,77.88536585,80.6,75.3,100,100,100,,,,,,
Bhutan,60.65039024,60.739,60.566,68.45585,45.28065,100,,,,59,54.1,63.5
Bolivia,60.69004878,62.767,58.712,66,49.98066,75.88766909,,,,58.8,53.6,63.7
Bosnia and Herzegovina,74.26073171,76.897,71.75,98.5,92.98065,100,96.6631012,94.3599472,99.03370667,7.9,7,8.8
Botswana,48.69363415,49.612,47.819,39.55584,38.18066,40.76466195,,,,52.4,48,56.6
Brazil,70.04197561,73.991,66.281,97.4,80.4,100,86.36788177,86.50004578,86.22798157,28.1,25.1,31
Brunei Darussalam,75.28880488,76.935,73.721,69.36274,61.15069,72.69030273,,,,7.6,6.9,8.2
Bulgaria,71.66341463,75.3,68.2,100,100,100,,,,17.9,15.8,19.9
Burkina Faso,50.34592683,51.63,49.123,6.9,0.2,37.74763506,,,,96.2,88.9,103.2
Burundi,51.4854878,53.208,49.845,3.9,0.9,37.28127577,59.30361938,52.23776245,67.30693054,93.4,83.5,102.9
Cabo Verde,69.72439024,71.388,68.14,58.6,30.8,82.82582577,,,,29.1,26.3,31.8
Cambodia,58.35087805,60.624,56.186,16.6,9,49.89099322,,,,80.4,72.2,88.2
Cameroon,51.93587805,52.991,50.931,46.2,10.9506,88.35036286,68.4091568,58.7217598,79.19452667,91.9,83.6,99.8
Canada,79.23658537,81.9,76.7,100,100,100,,,,5.2,4.7,5.7
Caribbean small states,69.43826186,72.57894778,66.44199443,87.95732462,82.41667619,93.8429193,88.16826968,90.20320117,86.20382595,22.8937131,20.10258325,25.55785359
Cayman Islands,,,,85.4112,72.26502,85.4112,,,,,,
Central African Republic,44.59729268,46.202,43.069,6,0.7,14.78113924,50.6451683,35.290905,66.78952789,113.6,104.8,122
Central Europe and the Baltics,72.71969035,76.78708637,68.85708597,100,100,100,98.9518546,98.57862815,99.36119982,12.11485,10.81509207,13.35011669
Chad,47.57807317,48.646,46.561,2.3,0.1,10.31640197,25.65421486,12.79641914,40.82705688,105.7,97.5,113.5
Channel Islands,77.5145122,79.971,75.175,100,100,100,,,,,,
Chile,76.82082927,80.146,73.654,98.8,86.6,100,,,,9.2,8.3,10
China,72.14073171,73.622,70.73,98,95.3,100,90.92021179,86.52659607,95.13525391,30.2,28.3,32
Colombia,70.98870732,74.823,67.337,97,89.8,99.78959417,,,,21.2,18.5,23.8
Comoros,59.43890244,61.06,57.895,44.8,32.5,76.3034188,68.48923492,63.45901489,74.51403809,72.7,66.5,78.5
"Congo, Dem. Rep.",50.00287805,51.478,48.598,6.7,1.1,20.21067126,,,,107.4,98.8,115.4
"Congo, Rep.",50.58987805,51.687,49.545,20.9,7.9,30.04839424,,,,76.6,70.1,82.9
Costa Rica,77.42268293,79.83,75.13,98,92.98065,100,94.86818695,95.08078766,94.650177,11.2,9.9,12.4
Cote d'Ivoire,46.69939024,47.292,46.135,51.4,22.5,88.874222,48.7407608,38.6145134,60.86065674,99.5,89.3,109.1
Croatia,72.80780488,76.68,69.12,100,100,100,,,,7.1,6.4,7.8
Cuba,76.64480488,78.648,74.737,97,87.9,99.93703704,,,,6.5,5.6,7.3
Curacao,,,,85.4112,72.26502,85.4112,,,,,,
Cyprus,77.97168293,80.106,75.939,100,100,100,,,,5.5,5,5.9
Czech Republic,74.96829268,78.4,71.7,100,100,100,,,,5.6,4.9,6.3
Denmark,76.59268293,79,74.3,100,100,100,,,,4.6,4.1,5.1
Djibouti,57.01034146,58.613,55.484,46.15585,5.480655,58.62861272,,,,79.7,72.6,86.5
Dominica,,,,87.7,72.26502,95.24126222,,,,13.4,12.5,14.4
Dominican Republic,70.63373171,73.753,67.663,90,76.4,98.42571827,,,,33.3,30.1,36.4
East Asia & Pacific (all income levels),71.66283353,73.65908151,69.68259954,92.17332633,86.73055744,97.46980761,91.61470598,88.1027565,95.10245545,31.65634724,28.84429066,34.32509051
East Asia & Pacific (developing only),70.69057538,72.5436813,68.94662909,91.34922932,86.32188402,96.94590017,90.76923385,86.84992034,94.62516336,33.6,30.7,36.3
Ecuador,72.94417073,76.066,69.971,94,82.4,100,,,,28.4,24.7,31.9
"Egypt, Arab Rep.",68.5907561,71.058,66.241,97.7,95.9,100,,,,37,35,39
